suburb_name,commission_rate
"Alawa, NT",2.49
"Brinkin, NT",2.45
"Casuarina, NT",2.45
"Coconut Grove, NT",2.45
"Jingili, NT",2.45
"Lee Point, NT",2.45
"Lyons, NT",2.45
"Millner, NT",2.45
"Moil, NT",2.45
"Muirhead, NT",2.45
"Nakara, NT",2.45
"Nightcliff, NT",2.45
"Rapid Creek, NT",2.45
"Tiwi, NT",2.45
"Wagaman, NT",2.45
"Wanguri, NT",2.45
"Anula, NT",2.57
"Buffalo Creek, NT",2.57
"Holmes, NT",2.57
"Karama, NT",2.57
"Leanyer, NT",2.65
"Malak, NT",2.57
"Marrara, NT",2.57
"Northlakes, NT",2.57
"Sanderson, NT",2.57
"Woodleigh Gardens, NT",2.57
"Wulagi, NT",2.57
"Bagot, NT",2.70
"Bayview, NT",2.70
"Charles Darwin, NT",2.60
"Coonawarra, NT",2.70
"Cullen Bay, NT",2.70
"East Point, NT",2.70
"Eaton, NT",2.70
"Fannie Bay, NT",2.70
"Larrakeyah, NT",2.70
"Ludmilla, NT",2.70
"Parap, NT",2.70
"Stuart Park, NT",2.70
"The Gardens, NT",2.70
"The Narrows, NT",2.70
"Winnellie, NT",2.70
"Woolner, NT",2.70
"Berrimah, NT",2.54
"Knuckey Lagoon, NT",2.54
"Holtze, NT",2.54
"Pinelands, NT",2.54
"Archer, NT",2.58
"Driver, NT",2.58
"Durack, NT",2.58
"Farrar, NT",2.58
"Gray, NT",2.58
"Marlow Lagoon, NT",2.58
"Moulden, NT",2.38
"Palmerston, NT",2.58
"Shoal Bay, NT",2.58
"Woodroffe, NT",2.48
"Yarrawonga, NT",2.58
"Bakewell, NT",2.34
"Bellamack, NT",2.35
"Gunn, NT",2.35
"Johnston, NT",2.35
"Mitchell, NT",2.35
"Rosebery, NT",2.58
"Rosebery Heights, NT",2.35
"Zuccoli, NT",2.35
"Coolalinga, NT",2.54
"Howard Springs, NT",2.54
"Virginia, NT",2.54
"Girraween, NT",2.56
"Herbert, NT",2.56
"Humpty Doo, NT",2.65
"Manton, NT",2.54
"Noonamah, NT",2.54
"Berry Springs, NT",2.54
"Dundee Beach, NT",2.54
"Dundee Downs, NT",2.54
"Dundee Forest, NT",2.54
"Darwin River, NT",2.54
"Batchelor, NT",2.54
"Adelaide River, NT",2.54
"Pine Creek, NT",2.54
"Cossack, NT",2.54
"Emungalan, NT",2.54
"Katherine, NT",2.54
"Katherine East, NT",2.54
"Katherine South, NT",2.54
